METER_NO,CATEGORY,STREET,SUBURB,MAX_STAY_HRS,RESTRICTIONS,OPERATIONAL_DAY,OPERATIONAL_TIME,TAR_ZONE,TAR_RATE_WEEKDAY,TAR_RATE_AH_WE,LOC_DESC,VEH_BAYS,MC_BAYS,MC_RATE,LONGITUDE,LATITUDE,MOBILE_ZONE,MAX_CAP_CHG
4513,TICKETLESS METER MULTISPACE ,JORDAN TCE,BOWEN HILLS,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Jordan Tce between Cintra Rd & Roche Ave in Bowen Hills,23,0,,153.040721,-27.445047,4000496,9.2
4514,TICKETLESS METER MULTISPACE ,JORDAN TCE,BOWEN HILLS,4,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Jordan Tce between Roche Ave & Cintra Rd in Bowen Hills,4,0,,153.041398,-27.445285,4000497,
4515,TICKETLESS METER MULTISPACE ,DUNLOP ST,BOWEN HILLS,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Dunlop St between Jordan Tce & Breakfast Ck Rd in Bowen Hills,10,0,,153.041953,-27.446877,4000498,9.2
4516,TICKETLESS METER MULTISPACE ,DURONG ST,NEWSTEAD,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Durong St between Breakfast Ck Rd & Ross St in Bowen Hills ,8,0,,153.044049,-27.44192,4000591,9.2
4517,TICKETLESS METER MULTISPACE ,ROSS ST,NEWSTEAD,4,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Ross St between Wickham Grove & End in Bowen Hills ,8,0,,153.04348,-27.441797,4000589,
4518,TICKETLESS METER MULTISPACE ,EDMUND ST,NEWSTEAD,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Edmund St between Ross St & Breakfast Ck Rd in Bowen Hills ,8,0,,153.042935,-27.44372,4000590,9.2
4519,TICKETLESS METER MULTISPACE ,ROSS ST,NEWSTEAD,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Ross St between Edmund St & Edmonstone St in Bowen Hills ,5,0,,153.042356,-27.443913,4000588,9.2
4520,TICKETLESS METER MULTISPACE ,EDMONDSTONE RD,BOWEN HILLS,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Edmondstone St between Thompsan St & Wickham Grove in Bowen Hills,5,0,,153.041411,-27.443339,4000494,9.2
4521,TICKETLESS METER MULTISPACE ,EDMONDSTONE RD,BOWEN HILLS,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Edmondstone St between Folkestone Rd & Abbotsford Rd in Bowen Hills,12,0,,153.040836,-27.442917,4000494,9.2
4522,TICKETLESS METER MULTISPACE ,EDMONDSTONE RD,BOWEN HILLS,4,"NO STOPPING 6-9 AM, 4-7 PM MON-FRI TOWAWAY",MON-FRI,9AM-4PM,"Zone 2, 15 min free",1.8,,Edmondstone St between Folkestone Rd & Abbotsford Rd in Bowen Hills,5,0,,153.039649,-27.442549,4000493,
4523,TICKETLESS METER MULTISPACE ,MURRAY ST,BOWEN HILLS,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Murray St between Thompsan St & End in Bowen Hills,7,0,,153.040295,-27.441597,4000492,9.2
4524,TICKETLESS METER MULTISPACE ,THOMPSON ST,BOWEN HILLS,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Thompson St between Allison St & Murray St in Bowen Hills,10,0,,153.040684,-27.440538,4000492,9.2
4525,TICKETLESS METER MULTISPACE ,THOMPSON ST,BOWEN HILLS,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Thompson St between Murray St & Allison St in Bowen Hills,12,0,,153.040563,-27.440498,4000492,9.2
4526,TICKETLESS METER MULTISPACE ,ALLISON ST,BOWEN HILLS,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Allison St between Allison St & Abbotsford Rd in Bowen Hills,7,0,,153.040992,-27.439241,4000491,9.2
4528,TICKETLESS METER MULTISPACE ,NEWSTEAD AVE,NEWSTEAD,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Newstead Ave between Breakfast Ck & Newstead Tce in Newstead,18,0,,153.04501,-27.443272,4000543,9.2
4529,TICKETLESS METER MULTISPACE ,NEWSTEAD TCE,NEWSTEAD,4,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Newstead Tce between Newstead Ave & Evelyn St in Newstead ,9,0,,153.04576,-27.443576,4000544,
4530,TICKETLESS METER MULTISPACE ,NEWSTEAD TCE,NEWSTEAD,4,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Newstead Tce between Newstead Ave & Evelyn St in Newstead ,6,0,,153.045535,-27.444793,4000544,
4531,TICKETLESS METER MULTISPACE ,NEWSTEAD TCE,NEWSTEAD,4,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Newstead Tce between Newstead Ave & Evelyn St in Newstead ,7,0,,153.045594,-27.445605,4000544,
4532,TICKETLESS METER MULTISPACE ,NEWSTEAD TCE,NEWSTEAD,4,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Newstead Tce between Newstead Ave & Evelyn St in Newstead ,6,0,,153.045689,-27.446164,4000544,
4533,TICKETLESS METER MULTISPACE ,NEWSTEAD TCE,NEWSTEAD,4,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Newstead Tce between Newstead Ave & Evelyn St in Newstead ,6,0,,153.045775,-27.446703,4000544,
4534,TICKETLESS METER MULTISPACE ,NEWSTEAD TCE,NEWSTEAD,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Newstead Tce between Evelyn St & Austin St in Newstead ,6,0,,153.045714,-27.447198,4000543,9.2
4535,TICKETLESS METER MULTISPACE ,NEWSTEAD TCE,NEWSTEAD,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Newstead Tce between Evelyn St & Austin St in Newstead ,7,0,,153.045594,-27.446514,4000545,9.2
4536,TICKETLESS METER MULTISPACE ,NEWSTEAD TCE,NEWSTEAD,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Newstead Tce between Austin St & Maud St in Newstead ,10,0,,153.045442,-27.445674,4000543,9.2
4537,TICKETLESS METER MULTISPACE ,NEWSTEAD TCE,NEWSTEAD,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Newstead Tce between Maud St & Halford St in Newstead ,6,0,,153.045377,-27.444778,4000543,9.2
4538,TICKETLESS METER MULTISPACE ,NEWSTEAD TCE,NEWSTEAD,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Newstead Tce between Maud St & Halford St in Newstead ,4,0,,153.045472,-27.444241,4000543,9.2
4539,TICKETLESS METER MULTISPACE ,NEWSTEAD TCE,NEWSTEAD,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Newstead Tce between Halford St & Newstead Ave in Newstead ,4,0,,153.045617,-27.443541,4000543,9.2
4540,TICKETLESS METER MULTISPACE ,HALFORD ST,NEWSTEAD,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Halford St between Breakfast Ck & Newstead Tce in Newstead ,18,0,,153.044756,-27.443643,4000541,9.2
4541,TICKETLESS METER MULTISPACE ,HALFORD ST,NEWSTEAD,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Halford St between Newstead Tce & Breakfast Ck Rd in Newstead,4,0,,153.045291,-27.443856,4000541,9.2
4542,TICKETLESS METER MULTISPACE ,HALFORD ST,NEWSTEAD,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Halford St between Newstead Tce & Breakfast Ck Rd in Newstead,6,0,,153.044329,-27.443708,4000542,9.2
4543,TICKETLESS METER MULTISPACE ,MAUD ST,NEWSTEAD,12,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Maud St between Breakfast Ck & Newstead Tce in Newstead ,4,0,,153.043494,-27.444748,4000548,9.2
4544,TICKETLESS METER MULTISPACE ,MAUD ST,NEWSTEAD,4,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Maud St between Breakfast Ck & Newstead Tce in Newstead ,10,0,,153.044839,-27.444946,4000546,
4545,TICKETLESS METER MULTISPACE ,MAUD ST,NEWSTEAD,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Maud St between Newstead Tce & Breakfast Ck Rd in Newstead ,8,0,,153.044874,-27.445096,4000547,9.2
4546,TICKETLESS METER MULTISPACE ,MAUD ST,NEWSTEAD,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Maud St between Newstead Tce & Breakfast Ck Rd in Newstead ,9,0,,153.043843,-27.444934,4000547,9.2
4547,TICKETLESS METER MULTISPACE ,WATERLOO ST,NEWSTEAD,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Waterloo St between Gordon St & Newstead Tce in Newstead,12,0,,153.045317,-27.447967,4000560,9.2
4548,TICKETLESS METER MULTISPACE ,AUSTIN ST,NEWSTEAD,4,NONE,MON-FRI,7AM-7PM,"Zone 2, 15 min free",1.8,,Austin St between Breakfast Ck & Newstead Tce in Newstead ,6,0,,153.04346,-27.445849,4000549,
4549,TICKETLESS METER MULTISPACE ,AUSTIN ST,NEWSTEAD,4,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Austin St between Breakfast Ck & Newstead Tce in Newstead ,6,0,,153.04532,-27.446123,4000551,
4550,TICKETLESS METER MULTISPACE ,AUSTIN ST,NEWSTEAD,9,NONE,MON-FRI,8AM-5PM,"Zone 2, 15 min free",1.8,,Austin St between Newstead Tce & Breakfast Ck Rd in Newstead,11,0,,153.04518,-27.446247,4000550,9.2
